B0C45N5VPT,Darshita Etel,Electronics > Mobiles & Accessories > Smartphones & Basic Mobiles > Smartphones,"realme narzo N53 (Feather Gold, 4GB+64GB) 33W Segment Fastest Charging | Slim Smartphone | 90 Hz Smooth Display","7,499.00"
B0BY8L3RZ6,Darshita Mobiles,Electronics > Mobiles & Accessories > Smartphones & Basic Mobiles > Smartphones,"Redmi 13C 5G (Startrail Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","10,998.00"
B0BY8L3RZ6,Darshita Electronics,Electronics > Mobiles & Accessories > Smartphones & Basic Mobiles > Smartphones,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 256GB Storage)","19,999.00"
B07WHQLX7G,Darshita Etel,Electronics > Mobiles & Accessories > Smartphones & Basic Mobiles > Smartphones,"IQOO Z9 5G (Brushed Green, 8GB RAM, 128GB Storage) | Dimensity 7200 5G Processor | Sony IMX882 OIS Camera | 120Hz AMOLED with 1800 nits Local Peak Brightness | 44W Charger in The Box","19,999.00"
B07WHQLX7G,Darshita Etel,Electronics > Mobiles & Accessories > Smartphones & Basic Mobiles > Smartphones,"IQOO Z9 5G (Graphene Blue, 8GB RAM, 256GB Storage) | Dimensity 7200 5G Processor | Sony IMX882 OIS Camera | 120Hz AMOLED with 1800 nits Local Peak Brightness | 44W Charger in The Box","21,999.00"
B0BY8MCQ9S,Darshita Electronics,Electronics > Mobiles & Accessories > Smartphones & Basic Mobiles > Smartphones,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 128GB Storage)","17,999.00"
B0C9JFWBH7,Darshita Mobiles,Electronics > Mobiles & Accessories > Smartphones & Basic Mobiles > Smartphones,Redmi 12 5G Jade Black 6GB RAM 128GB ROM,"12,999.00"
B0CNX82VVQ,Darshita Mobiles,Electronics > Mobiles & Accessories > Smartphones & Basic Mobiles > Smartphones,"Redmi 13C 5G (Startrail Silver, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display","10,999.00"
B07WGPJPR3,Darshita Etel,Electronics > Mobiles & Accessories > Smartphones & Basic Mobiles > Smartphones,"iQOO Z7 Pro 5G (Blue Lagoon, 8GB RAM, 256GB Storage) | 3D Curved AMOLED Display | 4nm MediaTek Dimesity 7200 5G Processor | 64MP Aura Light OIS Camera | Segment's Slimmest & Lightest Smartphone","24,999.00"
B0BY8JZ22K,Darshita Electronics,Electronics > Mobiles & Accessories > Smartphones & Basic Mobiles > Smartphones,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 8GB RAM, 128GB Storage)","17,999.00"
B07WHSR1NR,Darshita Etel,Electronics > Mobiles & Accessories > Smartphones & Basic Mobiles > Smartphones,"iQOO Z6 Lite 5G (Stellar Green, 6GB RAM, 128GB Storage) with Charger | Qualcomm Snapdragon 4 Gen 1 Processor | 120Hz FHD+ Display | Travel Adaptor Included in The Box","11,999.00"
B0BZCR6TNK,STPL Exclusive Online,Electronics > Mobiles & Accessories > Smartphones & Basic Mobiles > Smartphones,"Samsung Galaxy M14 5G (ICY Silver,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger","10,990.00"
